source;A1;A2;A3;A4
bl_ceaf0_rub_morg;;1;;1
bl_ceb5f_58sbw_undermulistr;;1;;1
bl_ceb60_138a_venturi;;1;;1
bl_ce769_rubpw80sbw_industry;;1;;1
bl_dl256_rubbasin_ara;;1;;1
bl_dl257_inflow_ara;;1;;1
bl_dl258_rubbasin_ara;;1;;1
bn_dl259_rub_morg;1;;;1
bm_dl290_rubbasin_ara;;1;;1
bm_dl291_rubbasin_ara;;1;;1
bl_dl309_sk102_wermatswilstr;;1;;1
bl_dl310_sk_ara;;1;;1
bl_dl311_rubmorg_inflow;;1;;1
bl_dl312_40d_imberg;;1;;1
bl_dl313_124a_chueferi;;1;;1
bl_dl314_50sbw_acherm;;1;;1
bl_dl316_40g_csovoland;;1;;1
bl_dl317_115a_chueferistr;;1;;1
bl_dl318_ra40a_sbwvoland;;1;;1
bl_dl319_wildbach_rumlikonstr;;1;;1
bl_dl320_597sbw_ara;;1;;1
bl_dl321_48sbw_notuberlauf;;1;;1
bl_dl322_rub128inflow_usterstr;;1;;1
bl_dl323_rub128basin_usterstr;;1;;1
bl_dl324_137_schutzengasse;;1;;1
bl_dl325_585sbw_amwildbach;;1;;1
bl_dl9449_15a_russikerstr;;1;;1
bp_dl326_wildbach_kempttalstr;;1;;1
bp_dl327_luppmen_usterstr;;1;;1
bm_dl328_sk_ara;;1;;1
bm_dl329_rub128basin_usterstr;;1;;1
bm_dl330_rub128inflow_usterstr;;1;;1
bm_dl331_58sbw_undermulistr;;1;;1
bm_dl332_rub_morg;;1;;1
bm_dl333_vs22_kempttalstr;;1;;1
bn_dl797_rub_morg;1;;;1
bn_dl798_electrosuisse_luppmenstr;1;;;1
bn_dl799_ara_flatroof;1;;;1
bn_dl800_pumpwau_rumlikerstr;1;;;1
bn_dl801_pumpwgeeren_geerenstr;1;;;1
bn_dl802_gerber_zurcherstr;1;;;1
bn_dl803_coop_grundstr;1;;;1
bm_dl892_58sbw_undermulistr;;1;;1
bl_dl893_585sbw_amwildbach;;1;;1
bl_dl899_inflow_ara;;1;;1
bl_dl900_156a_geerenstr;;1;;1
bt_dl906_pumpwgeeren_geerenstr;1;;1;1
bt_dl907_rub_morg;1;;1;1
bt_dl4185_voland_unterdorf;1;;1;1
bt_dl916_inflow_ara;;;1;1
bt_dl917_162_luppmenweg;;;1;1
bt_dl923_166_luppmenweg;;;1;1
bt_dl924_137_schutzengasse;;;1;1
bt_dl925_581a_wildbach;;;1;1
bt_dl926_rubmorg_inflow;;;1;1
bt_dl929_164_luppmenweg;;;1;1
bt_dl930_40d_imberg;;;1;1
bt_dl931_vs22_kempttalstr;;;1;1
bt_dl932_rub128inflow_usterstr;;;1;1
bt_dl933_11e_russikerstr;;;1;1
bt_dl934_47a_zurcherstr;;;1;1
bt_dl935_15a_russikerstr;;;1;1
bt_dl936_7_kempttalstr;;;1;1
bt_dl937_58sbw_undermulistr;;;1;1
bt_dl938_124a_chueferi;;;1;1
bt_dl939_11h_veloweg;;;1;1
bt_dl940_rw137_schutzengasse;;;1;1
bt_dl941_585sbw_wildbach;;;1;1
bt_dl943_sk102_wermatswilstr;;;1;1
bt_dl944_597sbw_ara;;;1;1
bt_dl945_156a_geerenstr;;;1;1
bt_dl946_555_mesikerstr;;;1;1
bt_dl948_rub128inflow_usterstr;;;1;1
bt_dl949_rw22a_bahnhofstr;;;1;1
bt_dl951_rw47a_zurcherstr;;;1;1
bt_dl955_594_undermulistr;;;1;1
bx_ws700_ara_flatroof;1;;;
bx_ws702_rub_morg;1;;;
bl_ce463_vs22_kempttalstr;;1;;1
bl_ce0bd_15a_russikerstr;;1;;1
bx_ce792_450a_usterstr;;;;1
bl_ce5ce_450b_usterstr;;1;;1
bf_f02_555_mesikerstr;;1;;
bf_f03_11e_russikerstr;;1;;
bf_f07_23_bahnhofstr;;1;;
bf_f08_166_luppmenweg;;1;;
bf_f10_22a_bahnhofstr;;1;;
bf_f12_47a_zurcherstr;;1;;
bn_r02_school_chatzenrainstr;1;;;
bn_r03_rub_morg;1;;;
bn_r04_airport_speck;1;;;
bn_r05_schutzenhaus_burgweg;1;;;
bl_lm064_rubpw80sbwbasin_industry;;1;;
bl_lm065_7_kempttalstr;;1;;1
bm_lm067_ra40a_sbwvoland;;1;;
bl_lm069_ra40a_sbwvoland;;1;;
bl_lm073_607sbw_kempttalerstr;;1;;1
bl_lm076_rohrbach_fehraltorferstr;;1;;
bm_lm079_rubpw80sbwbasin_industry;;1;;
bm_lm085_rubpw80sbwbasin_industry;;1;;
bt_plsZUL1311_inflow_ara;;;1;
bt_plsABL1301_outflow_ara;;;1;
bl_plsRKPI1201_rubpw80sbw_industry;;1;;
bl_plsRKBU1201_rub128basin_usterstr;;1;;
bl_plsRKBM1203_rub_morg;;1;;
bf_plsRKBM1101_3r_rub_morg_overflow;;1;;
bl_plsRKBA1201_rubbasin_ara;;1;;
bl_plsRFBA1201_sk_ara;;1;;
bf_plsRKBU1101_rub128basin_usterstr;;1;;
bf_plsZUL1100_inflow_ara;;1;;
bf_plsRKPI1102_rubpw80sbw_overflow;;1;;
bf_plsRKBU1102_rub128basin_overflow;;1;;
bf_plsRKBA1101_rubbasin_ara_overflow;;1;;
bt_uit01_t1_rumpisweg;;;1;
bt_uit01_t2_rumpisweg;;;1;
bt_uit01_t3_rumpisweg;;;1;
bt_uit01_t4_rumpisweg;;;1;
bt_uit01_t5_rumpisweg;;;1;
bt_uit01_t6_rumpisweg;;;1;
